95.85	93.288
80.23	74.311
34.08	28.749
41.18	32.945
29.82	19.7055
13.49	11.666
41.89	39.6265
78.81	76.311
80.94	71.2785
17.75	4.0925
67.45	53.7205
6.39	-2.574
50.41	50.5255
14.2	10.291
77.39	70.277
34.79	26.1665
91.59	78.1305
45.44	36.104
37.63	30.979
45.44	36.212
51.83	48.3725
88.75	85.1035
48.99	38.8305
46.86	37.0935
4.26	-3.0585
23.43	10.6935
56.09	46.7285
9.23	9.2615
65.32	58.9375
92.3	81.29
9.23	5.4635
9.23	8.153
75.97	66.9535
36.92	22.856
29.82	29.6295
60.35	58.598
57.51	47.8005
39.05	27.4715
84.49	77.911
79.52	75.155
19.17	15.288
79.52	73.997
60.35	57.6875
1.42	-4.001
25.56	16.707
89.46	86.1165
33.37	23.4175
34.08	33.2595
41.18	29.3255
79.52	69.965
0.71	-9.682
51.12	43.5615
3.55	2.5705
17.75	17.156
18.46	15.9565
22.72	20.8465
29.82	25.521
10.65	0.819
71.71	69.751
61.06	47.002
81.65	70.094
34.79	32.024
14.2	10.873
11.36	6.7535
51.12	44.1435
41.89	31.3345
56.09	55.4525
31.24	31.3
5.68	-3.569
75.97	72.1525
92.3	92.8925
84.49	80.9905
24.14	18.596
68.16	62.58
23.43	12.1065
86.62	84.031
67.45	57.952
71.71	71.8315
48.99	48.117
28.4	18.056
89.46	82.071
50.41	45.0025
23.43	14.2875
12.07	9.076
34.79	28.1105
0.71	-2.326
41.18	29.438
76.68	70.2975
9.23	-2.149
7.81	6.1915
36.21	36.4755
55.38	50.1225
2.13	-5.259
73.13	63.902
85.91	73.082
67.45	54.5725
71	67.919
44.02	31.39
90.88	76.702
46.86	46.5
61.06	57.229
31.95	19.356
31.95	19.3785
85.2	76.2495
65.32	59.578
81.65	80.096
13.49	1.2005
26.98	24.916
83.07	82.3065
25.56	17.283
63.9	61.596
94.43	88.9235
68.87	57.716
0	-7.2975
81.65	80.6135
45.44	33.068
1.42	0.682
63.9	61.4955
17.75	16.82
56.09	53.393
88.75	77.9725
67.45	57.4405
23.43	17.6805
56.09	49.9985
56.09	54.4655
86.62	78.55
31.24	24.739
59.64	57.831
7.81	5.1565
53.25	42.468
58.93	48.6565
75.26	71.555
36.92	32.024
49.7	36.1625
27.69	21.5415
1.42	-2.7605
52.54	43.738
11.36	7.661
76.68	74.5035
51.12	40.4145
33.37	30.2905
76.68	76.902
6.39	2.6355
63.19	52.579
64.61	50.858
67.45	55.531
31.95	26.9115
45.44	40.1945
62.48	60.2375
2.84	-5.317
21.3	10.155
95.85	87.5085
3.55	-5.807
46.15	41.998
74.55	62.232
46.86	41.1105
37.63	27.031
79.52	76.3325
48.28	37.9015
26.27	15.5795
66.74	52.256
33.37	19.876
88.04	88.5755
61.06	56.4265
2.13	0.3915
24.85	17.8075
44.73	34.5165
91.59	83.6685
78.81	65.4855
83.07	79.947
34.79	23.609
76.68	74.742
66.74	53.8985
24.14	17.942
96.56	92.06
46.15	38.0365
36.21	36.063
88.04	76.1075
64.61	54.8195
16.33	8.7055
31.95	21.288
46.86	39.294
60.35	59.345
63.9	59.3025
91.59	88.8885
48.28	40.153
41.89	29.4295
0	-10.3845
